alert_id,alert_ref,transaction_id,customer_id,merchant_id,device_id,alert_ts,rule_name,severity,risk_score,alert_status,dq_issue_count,is_valid_record,cleaned_at
1,ALT_7_1,7,507,780,7776,2026-02-10 20:39:20.078382,repeated_failed_payments,high,31.47,under_review,0,True,2026-05-27 17:15:33.149438
3,ALT_15_1,15,1435,179,7904,2025-05-28 11:39:20.078382,cross_border_high_risk_merchant,low,91.24,false_positive,2,False,2026-05-27 17:15:33.149438
4,ALT_17_1,17,9762,115,6845,2026-03-17 09:39:20.078382,high_chargeback_customer,high,74.76,open,0,True,2026-05-27 17:15:33.149438
5,ALT_19_1,19,1520,1068,12263,2025-07-15 14:39:20.078382,shared_device_many_customers,low,25.78,open,0,True,2026-05-27 17:15:33.149438
6,ALT_28_1,28,1700,941,7057,2025-08-08 01:39:20.078382,cross_border_high_risk_merchant,high,95.68,resolved,0,True,2026-05-27 17:15:33.149438
7,ALT_40_1,40,9182,943,9821,2025-07-11 00:39:20.078382,cross_border_high_risk_merchant,medium,51.92,under_review,2,False,2026-05-27 17:15:33.149438
8,ALT_47_1,47,8173,113,4272,2025-10-23 16:39:20.078382,high_chargeback_customer,medium,66.73,resolved,0,True,2026-05-27 17:15:33.149438
9,ALT_48_1,48,2410,431,11574,2025-05-15 03:39:20.078382,high_chargeback_customer,low,61.26,false_positive,0,True,2026-05-27 17:15:33.149438
10,ALT_75_1,75,4736,429,968,2025-07-26 02:39:20.078382,shared_device_many_customers,low,48.09,under_review,0,True,2026-05-27 17:15:33.149438
11,ALT_87_1,87,243,159,5786,2025-11-08 10:39:20.078382,merchant_chargeback_spike,low,33.03,resolved,2,False,2026-05-27 17:15:33.149438
12,ALT_99_1,99,4441,377,12623,2026-01-20 15:39:20.078382,cross_border_high_risk_merchant,medium,68.47,open,0,True,2026-05-27 17:15:33.149438
13,ALT_110_1,110,9721,436,12501,2025-09-01 09:39:20.078382,repeated_failed_payments,low,44.52,under_review,2,False,2026-05-27 17:15:33.149438
14,ALT_114_1,114,1846,90,1015,2025-07-15 22:39:20.078382,cross_border_high_risk_merchant,low,44.24,false_positive,0,True,2026-05-27 17:15:33.149438
15,ALT_123_1,123,419,212,3453,2025-05-06 14:39:20.078382,shared_device_many_customers,low,68.41,false_positive,2,False,2026-05-27 17:15:33.149438
16,ALT_168_1,168,2331,304,9910,2025-05-25 21:39:20.078382,merchant_chargeback_spike,low,89.28,false_positive,0,True,2026-05-27 17:15:33.149438
17,ALT_172_1,172,1827,1042,4485,2025-05-29 12:39:20.078382,merchant_chargeback_spike,low,47.74,resolved,3,False,2026-05-27 17:15:33.149438
18,ALT_177_1,177,8856,651,9820,2026-03-27 12:39:20.078382,merchant_chargeback_spike,low,56.78,open,2,False,2026-05-27 17:15:33.149438
19,ALT_185_1,185,7540,413,11787,2025-06-20 00:39:20.078382,shared_device_many_customers,high,59.61,open,3,False,2026-05-27 17:15:33.149438
20,ALT_201_1,201,5483,602,3203,2025-05-22 19:39:20.078382,emulator_device_usage,medium,37.76,open,0,True,2026-05-27 17:15:33.149438
21,ALT_204_1,204,1037,340,3880,2025-09-14 00:39:20.078382,high_chargeback_customer,low,32.13,false_positive,0,True,2026-05-27 17:15:33.149438
22,ALT_226_1,226,9526,672,5347,2026-04-08 17:39:20.078382,merchant_chargeback_spike,high,92.11,resolved,2,False,2026-05-27 17:15:33.149438
23,ALT_228_1,228,6043,804,12370,2026-02-17 15:39:20.078382,cross_border_high_risk_merchant,medium,25.33,false_positive,0,True,2026-05-27 17:15:33.149438
24,ALT_234_1,234,5484,894,9251,2025-05-25 16:39:20.078382,shared_device_many_customers,low,20.24,false_positive,0,True,2026-05-27 17:15:33.149438
26,ALT_239_1,239,7422,1183,13525,2026-04-10 16:39:20.078382,shared_device_many_customers,high,83.95,under_review,0,True,2026-05-27 17:15:33.149438
29,ALT_257_1,257,2223,64,6258,2026-01-10 19:39:20.078382,high_chargeback_customer,medium,23.6,resolved,0,True,2026-05-27 17:15:33.149438
30,ALT_304_1,304,4805,650,8126,2025-08-24 00:39:20.078382,shared_device_many_customers,high,59.53,open,0,True,2026-05-27 17:15:33.149438
31,ALT_307_1,307,6324,444,6462,2025-04-23 09:39:20.078382,emulator_device_usage,medium,72.62,under_review,0,True,2026-05-27 17:15:33.149438
32,ALT_315_1,315,5869,770,13845,2025-06-11 06:39:20.078382,emulator_device_usage,low,50.27,false_positive,0,True,2026-05-27 17:15:33.149438
33,ALT_318_1,318,9878,1156,3022,2026-03-11 04:39:20.078382,high_chargeback_customer,low,68.79,open,0,True,2026-05-27 17:15:33.149438
34,ALT_336_1,336,7150,966,3936,2025-06-03 12:39:20.078382,shared_device_many_customers,high,52.69,open,0,True,2026-05-27 17:15:33.149438
35,ALT_351_1,351,1228,706,13369,2026-03-28 23:39:20.078382,high_chargeback_customer,low,45.33,under_review,0,True,2026-05-27 17:15:33.149438
36,ALT_362_1,362,1724,1010,14731,2025-07-22 15:39:20.078382,high_chargeback_customer,low,72.05,open,0,True,2026-05-27 17:15:33.149438
37,ALT_387_1,387,4689,455,9163,2025-08-01 20:39:20.078382,emulator_device_usage,high,55.06,resolved,0,True,2026-05-27 17:15:33.149438
38,ALT_388_1,388,5342,281,11031,2025-12-14 16:39:20.078382,merchant_chargeback_spike,low,40.1,open,0,True,2026-05-27 17:15:33.149438
39,ALT_392_1,392,2599,599,10663,2025-05-16 23:39:20.078382,shared_device_many_customers,medium,21.74,false_positive,0,True,2026-05-27 17:15:33.149438
