chargeback_id,chargeback_ref,transaction_id,customer_id,merchant_id,chargeback_date,chargeback_amount,chargeback_reason,dispute_status,resolution_date,dq_issue_count,is_valid_record,cleaned_at
1,CB_123,123,419,212,2025-06-02,17.89,authorization_issue,closed,,1,False,2026-05-27 17:14:06.202831
2,CB_370,370,6114,650,2025-10-31,68.61,service_not_received,won,,0,True,2026-05-27 17:14:06.202831
3,CB_417,417,1595,666,2025-06-30,97.69,authorization_issue,closed,2025-07-08,0,True,2026-05-27 17:14:06.202831
4,CB_488,488,7163,430,2025-07-24,10.44,authorization_issue,open,2025-08-10,0,True,2026-05-27 17:14:06.202831
5,CB_551,551,3256,721,2025-06-13,188.64,fraud,lost,2025-04-29,3,False,2026-05-27 17:14:06.202831
7,CB_708,708,5707,386,2026-05-30,61.05,duplicate_processing,lost,2026-05-31,0,True,2026-05-27 17:14:06.202831
8,CB_854,854,6064,93,2025-09-19,51.9,authorization_issue,won,2025-11-08,0,True,2026-05-27 17:14:06.202831
9,CB_897,897,2382,1195,2025-09-01,11.11,fraud,closed,,0,True,2026-05-27 17:14:06.202831
10,CB_955,955,2480,419,2025-07-30,42.03,authorization_issue,won,2025-06-27,1,False,2026-05-27 17:14:06.202831
12,CB_1110,1110,9985,508,2025-10-29,306.56,fraud,open,2025-10-18,1,False,2026-05-27 17:14:06.202831
13,CB_1126,1126,7159,208,2026-05-19,18.04,fraud,lost,2026-05-23,0,True,2026-05-27 17:14:06.202831
14,CB_1139,1139,5914,1107,2025-11-20,52.41,service_not_received,open,2026-01-18,0,True,2026-05-27 17:14:06.202831
15,CB_1153,1153,5073,100,2025-09-27,67.71,fraud,closed,2025-09-24,2,False,2026-05-27 17:14:06.202831
16,CB_1164,1164,3472,15,2026-01-29,55.75,duplicate_processing,won,2026-01-26,1,False,2026-05-27 17:14:06.202831
17,CB_1267,1267,855,95,2026-01-10,33.59,service_not_received,closed,2026-01-19,0,True,2026-05-27 17:14:06.202831
19,CB_1331,1331,2695,830,2025-11-25,77.06,duplicate_processing,closed,,2,False,2026-05-27 17:14:06.202831
20,CB_1502,1502,2067,1161,2026-04-26,45.68,fraud,open,,1,False,2026-05-27 17:14:06.202831
21,CB_1511,1511,3761,1072,2026-04-01,61.18,duplicate_processing,open,2026-03-16,2,False,2026-05-27 17:14:06.202831
22,CB_1577,1577,4872,4,2025-10-10,24.27,fraud,closed,2025-10-07,1,False,2026-05-27 17:14:06.202831
23,CB_1715,1715,7659,258,2025-08-27,72.27,service_not_received,open,2025-10-28,0,True,2026-05-27 17:14:06.202831
25,CB_1779,1779,9539,525,2025-12-01,56.33,fraud,open,2025-11-12,2,False,2026-05-27 17:14:06.202831
26,CB_1944,1944,9000,970,2025-06-19,370.8,service_not_received,won,2025-07-12,0,True,2026-05-27 17:14:06.202831
27,CB_2059,2059,2665,896,2025-07-18,85.8,service_not_received,open,,0,True,2026-05-27 17:14:06.202831
28,CB_2067,2067,6066,667,2025-07-03,73.67,service_not_received,open,,0,True,2026-05-27 17:14:06.202831
29,CB_2116,2116,7424,878,2025-07-07,296.87,service_not_received,lost,2025-06-17,1,False,2026-05-27 17:14:06.202831
31,CB_2154,2154,8417,681,2026-05-01,45.82,fraud,closed,2026-06-02,0,True,2026-05-27 17:14:06.202831
32,CB_2175,2175,1375,94,2025-10-07,71.64,service_not_received,closed,2025-12-01,1,False,2026-05-27 17:14:06.202831
33,CB_2196,2196,8154,816,2025-08-12,490.04,duplicate_processing,closed,2025-08-22,0,True,2026-05-27 17:14:06.202831
34,CB_2502,2502,2522,10,2026-05-28,303.33,service_not_received,lost,2026-06-27,2,False,2026-05-27 17:14:06.202831
36,CB_2770,2770,2341,1182,2026-02-10,12.22,service_not_received,won,2026-02-09,1,False,2026-05-27 17:14:06.202831
37,CB_2778,2778,9873,1032,2026-01-11,308.26,fraud,won,2026-01-21,2,False,2026-05-27 17:14:06.202831
38,CB_2820,2820,8124,186,2025-10-04,9.38,authorization_issue,closed,,0,True,2026-05-27 17:14:06.202831
39,CB_2948,2948,2302,52,2025-12-21,85.53,duplicate_processing,lost,2026-01-08,0,True,2026-05-27 17:14:06.202831
40,CB_2959,2959,1743,699,2025-05-05,9.42,duplicate_processing,closed,2025-05-27,0,True,2026-05-27 17:14:06.202831
41,CB_2963,2963,695,593,2026-03-28,60.86,service_not_received,lost,2026-03-24,1,False,2026-05-27 17:14:06.202831
42,CB_2994,2994,3580,388,2025-05-31,45.95,authorization_issue,closed,2025-05-17,3,False,2026-05-27 17:14:06.202831
43,CB_3076,3076,9787,680,2025-07-16,83.47,service_not_received,lost,2025-07-12,1,False,2026-05-27 17:14:06.202831
44,CB_3135,3135,2686,129,2025-10-03,11.9,fraud,closed,2025-09-29,1,False,2026-05-27 17:14:06.202831
46,CB_3153,3153,5109,256,2026-03-06,89.31,authorization_issue,lost,2026-03-21,0,True,2026-05-27 17:14:06.202831
47,CB_3197,3197,4148,613,2025-11-26,465.41,authorization_issue,closed,2025-12-29,1,False,2026-05-27 17:14:06.202831
48,CB_3253,3253,759,731,2025-08-27,10.62,authorization_issue,closed,2025-08-30,0,True,2026-05-27 17:14:06.202831
50,CB_3532,3532,8396,513,2025-08-28,50.24,authorization_issue,closed,,0,True,2026-05-27 17:14:06.202831
51,CB_3537,3537,4855,947,2025-12-29,66.34,service_not_received,open,2026-02-08,0,True,2026-05-27 17:14:06.202831
52,CB_3662,3662,749,462,2025-05-13,19.87,service_not_received,won,2025-05-25,0,True,2026-05-27 17:14:06.202831
53,CB_3730,3730,7684,191,2025-10-20,59.74,fraud,won,2025-10-12,3,False,2026-05-27 17:14:06.202831
54,CB_3948,3948,2037,935,2025-10-21,71.64,fraud,open,2025-10-08,1,False,2026-05-27 17:14:06.202831
56,CB_4030,4030,1784,326,2025-07-23,14.18,authorization_issue,closed,,2,False,2026-05-27 17:14:06.202831
57,CB_4155,4155,9247,112,2025-10-02,83.23,service_not_received,open,2025-09-14,1,False,2026-05-27 17:14:06.202831
58,CB_4285,4285,2846,522,2026-03-14,76.62,fraud,closed,,0,True,2026-05-27 17:14:06.202831
59,CB_4290,4290,5526,962,2026-01-28,429.21,service_not_received,closed,2026-01-29,0,True,2026-05-27 17:14:06.202831
62,CB_4345,4345,9699,749,2026-01-21,74.22,duplicate_processing,closed,,1,False,2026-05-27 17:14:06.202831
63,CB_4385,4385,9319,802,2026-01-05,88.52,service_not_received,closed,2025-12-13,1,False,2026-05-27 17:14:06.202831
64,CB_4395,4395,9496,166,2026-04-30,202.29,fraud,closed,2026-04-15,4,False,2026-05-27 17:14:06.202831
65,CB_4398,4398,8844,764,2025-06-28,476.23,authorization_issue,won,2025-06-20,1,False,2026-05-27 17:14:06.202831
68,CB_4455,4455,4201,1005,2025-10-03,26.39,service_not_received,won,2025-10-15,0,True,2026-05-27 17:14:06.202831
69,CB_4478,4478,5335,1170,2025-10-14,34.05,fraud,lost,,0,True,2026-05-27 17:14:06.202831
70,CB_4525,4525,4885,788,2026-03-06,86.67,duplicate_processing,won,2026-04-12,0,True,2026-05-27 17:14:06.202831
71,CB_4547,4547,2742,945,2026-05-20,328.66,authorization_issue,won,2026-04-13,1,False,2026-05-27 17:14:06.202831
72,CB_4548,4548,6030,863,2026-01-02,84.8,duplicate_processing,closed,2026-01-30,0,True,2026-05-27 17:14:06.202831
73,CB_4577,4577,8559,286,2025-09-17,61.22,fraud,open,2025-09-17,0,True,2026-05-27 17:14:06.202831
74,CB_4600,4600,1311,570,2026-03-26,45.65,authorization_issue,lost,2026-05-09,2,False,2026-05-27 17:14:06.202831
49,CB_3291,3291,960049,1159,2025-05-28,90.05,authorization_issue,won,2025-06-02,1,False,2026-05-27 17:14:06.202831
18,CB_1312,1312,3934,1017,2026-05-10,,fraud,lost,2026-06-07,1,False,2026-05-27 17:14:06.202831
35,CB_2561,2561,6509,417,2026-03-03,-359.23,duplicate_processing,open,2026-02-18,2,False,2026-05-27 17:14:06.202831
60,CB_4295,4295,4381,533,2025-11-04,17.78,fraud,won,2025-12-27,2,False,2026-05-27 17:14:06.202831
61,CB_4296,4296,7590,1002,2026-01-22,53.16,fraud,lost,,0,True,2026-05-27 17:14:06.202831
11,CB_1093,1093,7987,832,2026-02-15,68.23,fraud,open,,0,True,2026-05-27 17:14:06.202831
55,CB_4006,4006,428,1097,2026-02-11,17.61,fraud,lost,2026-04-19,2,False,2026-05-27 17:14:06.202831
30,CB_2125,2125,8479,636,2025-05-19,81.96,authorization_issue,won,,0,True,2026-05-27 17:14:06.202831
6,CB_637,637,7738,250,2026-03-17,39.47,fraud,closed,2026-03-22,0,True,2026-05-27 17:14:06.202831
24,CB_1729,1729,3013,644,2025-11-08,1151.32,service_not_received,closed,,0,True,2026-05-27 17:14:06.202831
67,CB_4454,4454,377,482,2025-07-26,86.12,duplicate_processing,open,2025-07-10,3,False,2026-05-27 17:14:06.202831
75,CB_4632,4632,4258,1073,2025-07-08,11.27,fraud,won,2025-08-05,0,True,2026-05-27 17:14:06.202831
76,CB_4659,4659,2041,491,2025-11-20,351.12,service_not_received,lost,2025-11-26,0,True,2026-05-27 17:14:06.202831
78,CB_4725,4725,8121,1030,2025-08-24,86.33,duplicate_processing,closed,,0,True,2026-05-27 17:14:06.202831
79,CB_4930,4930,5602,974,2025-11-27,68.61,duplicate_processing,closed,2026-01-19,0,True,2026-05-27 17:14:06.202831
80,CB_4971,4971,9035,309,2025-06-07,90.71,service_not_received,lost,2025-06-20,0,True,2026-05-27 17:14:06.202831
81,CB_5064,5064,8599,478,2025-11-09,11.47,authorization_issue,lost,2025-12-04,0,True,2026-05-27 17:14:06.202831
82,CB_5124,5124,9917,838,2026-01-15,50.99,service_not_received,won,2025-12-22,4,False,2026-05-27 17:14:06.202831
84,CB_5324,5324,1582,198,2026-04-04,88.55,authorization_issue,closed,,0,True,2026-05-27 17:14:06.202831
85,CB_5357,5357,4602,18,2026-04-23,175.13,fraud,lost,,0,True,2026-05-27 17:14:06.202831
86,CB_5389,5389,4205,718,2025-09-30,28.71,duplicate_processing,closed,2025-09-01,3,False,2026-05-27 17:14:06.202831
88,CB_5398,5398,1811,848,2025-06-10,1565.21,duplicate_processing,won,2025-06-21,2,False,2026-05-27 17:14:06.202831
90,CB_5446,5446,4193,450,2025-12-23,73.03,duplicate_processing,closed,,0,True,2026-05-27 17:14:06.202831
91,CB_5458,5458,7108,291,2026-05-17,10.17,duplicate_processing,closed,2026-06-25,0,True,2026-05-27 17:14:06.202831
92,CB_5496,5496,4062,404,2025-05-24,71.78,authorization_issue,open,,1,False,2026-05-27 17:14:06.202831
93,CB_5498,5498,422,474,2026-02-23,312.89,service_not_received,closed,,0,True,2026-05-27 17:14:06.202831
94,CB_5521,5521,508,943,2026-02-04,19.61,duplicate_processing,lost,,1,False,2026-05-27 17:14:06.202831
95,CB_5535,5535,4582,412,2026-02-10,379.65,duplicate_processing,open,,0,True,2026-05-27 17:14:06.202831
96,CB_5601,5601,4960,1195,2025-11-01,698.1,service_not_received,closed,2025-11-13,0,True,2026-05-27 17:14:06.202831
97,CB_5761,5761,7615,77,2025-08-06,8.69,service_not_received,won,2025-06-28,1,False,2026-05-27 17:14:06.202831
98,CB_5785,5785,729,883,2026-04-22,73.15,authorization_issue,lost,2026-06-03,0,True,2026-05-27 17:14:06.202831
99,CB_5852,5852,1190,1112,2026-03-20,38.66,duplicate_processing,lost,2026-03-16,1,False,2026-05-27 17:14:06.202831
100,CB_5886,5886,5426,1047,2026-02-09,5.64,fraud,lost,2026-02-26,0,True,2026-05-27 17:14:06.202831
101,CB_5922,5922,5942,861,2026-04-02,477.95,authorization_issue,lost,,0,True,2026-05-27 17:14:06.202831
102,CB_5936,5936,3629,1063,2025-09-01,36.15,duplicate_processing,won,2025-09-17,2,False,2026-05-27 17:14:06.202831
103,CB_5945,5945,649,169,2025-09-17,420.42,authorization_issue,open,2025-10-23,2,False,2026-05-27 17:14:06.202831
104,CB_6160,6160,3376,428,2025-07-13,9.62,authorization_issue,won,2025-06-30,1,False,2026-05-27 17:14:06.202831
105,CB_6188,6188,519,1173,2025-08-31,239.78,service_not_received,closed,2025-09-08,0,True,2026-05-27 17:14:06.202831
106,CB_6336,6336,7910,321,2026-03-03,46.4,fraud,lost,,0,True,2026-05-27 17:14:06.202831
107,CB_6356,6356,6328,954,2025-05-31,372.85,fraud,open,,1,False,2026-05-27 17:14:06.202831
