device_id,device_ref,customer_id,device_type,os_name,app_version,is_emulator,first_seen_at,last_seen_at,country_code,ip_country_code,dq_issue_count,is_valid_record,cleaned_at
1,DEV_1,6943,tablet,android,v3.4,False,2024-05-03 07:31:40.479076,2026-03-23 07:31:40.479076,IN,US,0,True,2026-05-27 16:41:43.303822
2,DEV_2,9206,mobile,windows,v3.7,False,2024-05-28 07:31:40.479076,2026-04-09 07:31:40.479076,GB,SG,0,True,2026-05-27 16:41:43.303822
3,DEV_3,9141,mobile,macos,v3.9,False,2024-10-25 07:31:40.479076,2026-04-14 07:31:40.479076,SG,US,0,True,2026-05-27 16:41:43.303822
4,DEV_4,6719,tablet,macos,v1.0,False,2025-10-16 07:31:40.479076,2026-04-05 07:31:40.479076,US,GB,0,True,2026-05-27 16:41:43.303822
5,DEV_5,6057,desktop,macos,v4.0,False,2025-05-28 07:31:40.479076,2026-03-20 07:31:40.479076,AU,AU,0,True,2026-05-27 16:41:43.303822
6,DEV_6,3472,tablet,android,v2.0,False,2026-01-29 07:31:40.479076,2026-03-20 07:31:40.479076,IN,US,0,True,2026-05-27 16:41:43.303822
7,DEV_7,2028,desktop,macos,v2.6,False,2025-12-08 07:31:40.479076,2026-04-08 07:31:40.479076,US,AU,0,True,2026-05-27 16:41:43.303822
8,DEV_8,7651,tablet,ios,v5.1,False,2025-07-24 07:31:40.479076,2026-04-11 07:31:40.479076,US,US,0,True,2026-05-27 16:41:43.303822
9,DEV_9,3187,mobile,macos,v1.3,False,2026-02-20 07:31:40.479076,2026-04-11 07:31:40.479076,US,SG,0,True,2026-05-27 16:41:43.303822
10,DEV_10,2130,mobile,android,v1.5,False,2026-02-03 07:31:40.479076,2026-04-08 07:31:40.479076,GB,US,0,True,2026-05-27 16:41:43.303822
11,DEV_11,7326,mobile,android,v2.4,False,2025-06-29 07:31:40.479076,2026-04-05 07:31:40.479076,US,GB,1,False,2026-05-27 16:41:43.303822
12,DEV_12,8758,desktop,macos,v5.7,False,2025-11-16 07:31:40.479076,2026-03-18 07:31:40.479076,IN,US,0,True,2026-05-27 16:41:43.303822
13,DEV_13,827,mobile,macos,v1.0,False,2025-09-21 07:31:40.479076,2026-04-14 07:31:40.479076,GB,AU,0,True,2026-05-27 16:41:43.303822
