merchant_id,merchant_ref,merchant_name,legal_name,merchant_category,country_code,settlement_currency,onboarding_date,risk_tier_source,is_active,created_at,updated_at,dq_issue_count,is_valid_record,cleaned_at
1,MERCH_1,Merchant_1,Merchant_1_PTY_LTD,gaming,GB,USD,2025-01-03,high,False,2026-04-09 07:26:36.509380,2026-04-17 07:26:36.509380,0,True,2026-05-27 16:37:19.641637
2,MERCH_2,Merchant_2,Merchant_2_PTY_LTD,travel,AU,AUD,2025-10-01,medium,True,2025-08-26 07:26:36.509380,2026-04-17 07:26:36.509380,0,True,2026-05-27 16:37:19.641637
3,MERCH_3,Merchant_3,Merchant_3_PTY_LTD,travel,SG,USD,2023-09-05,low,True,2026-02-08 07:26:36.509380,2026-04-17 07:26:36.509380,0,True,2026-05-27 16:37:19.641637
4,MERCH_4,Merchant_4,Merchant_4_PTY_LTD,ecommerce,US,AUD,2024-10-15,high,True,2025-05-31 07:26:36.509380,2026-04-17 07:26:36.509380,0,True,2026-05-27 16:37:19.641637
5,MERCH_5,Merchant_5,Merchant_5_PTY_LTD,subscription,US,INR,2025-07-22,high,True,2025-07-27 07:26:36.509380,2026-04-17 07:26:36.509380,0,True,2026-05-27 16:37:19.641637
6,MERCH_6,Merchant_6,Merchant_6_PTY_LTD,ecommerce,US,INR,2026-03-14,medium,True,2025-05-13 07:26:36.509380,2026-04-17 07:26:36.509380,0,True,2026-05-27 16:37:19.641637
7,MERCH_7,Merchant_7,Merchant_7_PTY_LTD,electronics,IN,GBP,2024-01-22,medium,False,2026-04-02 07:26:36.509380,2026-04-17 07:26:36.509380,0,True,2026-05-27 16:37:19.641637
11,MERCH_11,Merchant_11,Merchant_11_PTY_LTD,food_delivery,IN,SGD,2025-06-15,medium,True,2025-12-16 07:26:36.509380,2026-04-17 07:26:36.509380,0,True,2026-05-27 16:37:19.641637
12,MERCH_12,Merchant_12,Merchant_12_PTY_LTD,subscription,IN,AUD,2023-09-27,high,True,2025-08-18 07:26:36.509380,2026-04-17 07:26:36.509380,0,True,2026-05-27 16:37:19.641637
13,MERCH_13,Merchant_13,Merchant_13_PTY_LTD,gaming,US,USD,2023-12-25,high,True,2025-04-18 07:26:36.509380,2026-04-17 07:26:36.509380,0,True,2026-05-27 16:37:19.641637
15,MERCH_15,Merchant_15,Merchant_15_PTY_LTD,ecommerce,GB,INR,2024-07-21,medium,True,2025-08-12 07:26:36.509380,2026-04-17 07:26:36.509380,0,True,2026-05-27 16:37:19.641637
17,MERCH_17,Merchant_17,Merchant_17_PTY_LTD,gaming,US,AUD,2025-03-03,low,True,2025-08-10 07:26:36.509380,2026-04-17 07:26:36.509380,0,True,2026-05-27 16:37:19.641637
18,MERCH_18,Merchant_18,Merchant_18_PTY_LTD,travel,US,GBP,2025-05-17,high,True,2026-03-20 07:26:36.509380,2026-04-17 07:26:36.509380,0,True,2026-05-27 16:37:19.641637
20,MERCH_20,Merchant_20,Merchant_20_PTY_LTD,subscription,AU,SGD,2025-12-01,medium,True,2025-09-25 07:26:36.509380,2026-04-17 07:26:36.509380,0,True,2026-05-27 16:37:19.641637
21,MERCH_21,Merchant_21,Merchant_21_PTY_LTD,travel,GB,SGD,2024-09-10,medium,True,2025-06-24 07:26:36.509380,2026-04-17 07:26:36.509380,0,True,2026-05-27 16:37:19.641637
22,MERCH_22,Merchant_22,Merchant_22_PTY_LTD,ecommerce,US,AUD,2025-02-26,high,True,2026-02-05 07:26:36.509380,2026-04-17 07:26:36.509380,0,True,2026-05-27 16:37:19.641637
23,MERCH_23,Merchant_23,Merchant_23_PTY_LTD,electronics,GB,USD,2025-06-09,low,False,2026-03-19 07:26:36.509380,2026-04-17 07:26:36.509380,0,True,2026-05-27 16:37:19.641637
24,MERCH_24,Merchant_24,Merchant_24_PTY_LTD,food_delivery,AU,GBP,2025-02-21,high,True,2026-04-16 07:26:36.509380,2026-04-17 07:26:36.509380,0,True,2026-05-27 16:37:19.641637
26,MERCH_26,Merchant_26,Merchant_26_PTY_LTD,food_delivery,US,USD,2024-06-25,medium,True,2025-09-21 07:26:36.509380,2026-04-17 07:26:36.509380,0,True,2026-05-27 16:37:19.641637
27,MERCH_27,Merchant_27,Merchant_27_PTY_LTD,electronics,AU,AUD,2023-10-08,medium,True,2025-11-14 07:26:36.509380,2026-04-17 07:26:36.509380,0,True,2026-05-27 16:37:19.641637
29,MERCH_29,Merchant_29,Merchant_29_PTY_LTD,subscription,IN,SGD,2024-11-08,medium,True,2025-04-22 07:26:36.509380,2026-04-17 07:26:36.509380,0,True,2026-05-27 16:37:19.641637
30,MERCH_30,Merchant_30,Merchant_30_PTY_LTD,travel,AU,SGD,2025-09-05,low,False,2026-03-05 07:26:36.509380,2026-04-17 07:26:36.509380,0,True,2026-05-27 16:37:19.641637
32,MERCH_32,Merchant_32,Merchant_32_PTY_LTD,subscription,IN,INR,2026-01-03,medium,True,2025-07-06 07:26:36.509380,2026-04-17 07:26:36.509380,0,True,2026-05-27 16:37:19.641637
33,MERCH_33,Merchant_33,Merchant_33_PTY_LTD,gaming,AU,USD,2025-04-01,medium,False,2025-06-08 07:26:36.509380,2026-04-17 07:26:36.509380,0,True,2026-05-27 16:37:19.641637
34,MERCH_34,Merchant_34,Merchant_34_PTY_LTD,ecommerce,US,USD,2025-04-22,low,True,2026-03-05 07:26:36.509380,2026-04-17 07:26:36.509380,0,True,2026-05-27 16:37:19.641637
36,MERCH_36,Merchant_36,Merchant_36_PTY_LTD,travel,SG,INR,2025-08-14,low,True,2025-06-30 07:26:36.509380,2026-04-17 07:26:36.509380,0,True,2026-05-27 16:37:19.641637
38,MERCH_38,Merchant_38,Merchant_38_PTY_LTD,gaming,SG,INR,2025-08-10,medium,True,2026-02-13 07:26:36.509380,2026-04-17 07:26:36.509380,0,True,2026-05-27 16:37:19.641637
41,MERCH_41,Merchant_41,Merchant_41_PTY_LTD,subscription,GB,AUD,2024-12-02,low,True,2025-06-02 07:26:36.509380,2026-04-17 07:26:36.509380,0,True,2026-05-27 16:37:19.641637
42,MERCH_42,Merchant_42,Merchant_42_PTY_LTD,electronics,IN,INR,2025-02-06,high,True,2025-05-20 07:26:36.509380,2026-04-17 07:26:36.509380,0,True,2026-05-27 16:37:19.641637
43,MERCH_43,Merchant_43,Merchant_43_PTY_LTD,gaming,IN,GBP,2024-09-06,low,True,2025-08-18 07:26:36.509380,2026-04-17 07:26:36.509380,0,True,2026-05-27 16:37:19.641637
44,MERCH_44,Merchant_44,Merchant_44_PTY_LTD,gaming,AU,SGD,2024-02-02,low,True,2026-01-08 07:26:36.509380,2026-04-17 07:26:36.509380,0,True,2026-05-27 16:37:19.641637
45,MERCH_45,Merchant_45,Merchant_45_PTY_LTD,ecommerce,IN,USD,2025-02-06,low,True,2025-04-26 07:26:36.509380,2026-04-17 07:26:36.509380,0,True,2026-05-27 16:37:19.641637
46,MERCH_46,Merchant_46,Merchant_46_PTY_LTD,food_delivery,US,AUD,2024-05-13,low,True,2025-09-08 07:26:36.509380,2026-04-17 07:26:36.509380,0,True,2026-05-27 16:37:19.641637
48,MERCH_48,Merchant_48,Merchant_48_PTY_LTD,food_delivery,IN,INR,2025-12-31,medium,True,2025-10-19 07:26:36.509380,2026-04-17 07:26:36.509380,0,True,2026-05-27 16:37:19.641637
49,MERCH_49,Merchant_49,Merchant_49_PTY_LTD,travel,SG,USD,2024-03-25,high,True,2026-01-01 07:26:36.509380,2026-04-17 07:26:36.509380,0,True,2026-05-27 16:37:19.641637
50,MERCH_50,Merchant_50,Merchant_50_PTY_LTD,subscription,IN,INR,2023-08-10,medium,True,2026-02-17 07:26:36.509380,2026-04-17 07:26:36.509380,0,True,2026-05-27 16:37:19.641637
51,MERCH_51,Merchant_51,Merchant_51_PTY_LTD,food_delivery,SG,SGD,2024-08-12,medium,False,2026-04-17 07:26:36.509380,2026-04-17 07:26:36.509380,0,True,2026-05-27 16:37:19.641637
52,MERCH_52,Merchant_52,Merchant_52_PTY_LTD,travel,IN,AUD,2024-08-07,high,False,2026-03-18 07:26:36.509380,2026-04-17 07:26:36.509380,0,True,2026-05-27 16:37:19.641637
53,MERCH_53,Merchant_53,Merchant_53_PTY_LTD,subscription,IN,USD,2026-04-12,medium,True,2025-07-06 07:26:36.509380,2026-04-17 07:26:36.509380,0,True,2026-05-27 16:37:19.641637
54,MERCH_54,Merchant_54,Merchant_54_PTY_LTD,subscription,GB,INR,2024-07-15,high,True,2025-09-03 07:26:36.509380,2026-04-17 07:26:36.509380,0,True,2026-05-27 16:37:19.641637
55,MERCH_55,Merchant_55,Merchant_55_PTY_LTD,electronics,SG,GBP,2026-01-20,low,True,2025-05-17 07:26:36.509380,2026-04-17 07:26:36.509380,0,True,2026-05-27 16:37:19.641637
57,MERCH_57,Merchant_57,Merchant_57_PTY_LTD,electronics,US,GBP,2025-09-05,high,True,2025-05-29 07:26:36.509380,2026-04-17 07:26:36.509380,0,True,2026-05-27 16:37:19.641637
58,MERCH_58,Merchant_58,Merchant_58_PTY_LTD,travel,GB,GBP,2023-11-29,low,True,2025-08-05 07:26:36.509380,2026-04-17 07:26:36.509380,0,True,2026-05-27 16:37:19.641637
