chargeback_id,chargeback_ref,transaction_id,customer_id,merchant_id,chargeback_date,chargeback_amount,chargeback_reason,dispute_status,resolution_date
1,CB_123,123,419,212,2025-06-02,17.89,authorization_issue,closed,
2,CB_370,370,6114,650,2025-10-31,68.61,service_not_received,won,
3,CB_417,417,1595,666,2025-06-30,97.69,authorization_issue,closed,2025-07-08
4,CB_488,488,7163,430,2025-07-24,10.44,authorization_issue,open,2025-08-10
5,CB_551,551,3256,721,2025-06-13,188.64,fraud,lost,2025-04-29
7,CB_708,708,5707,386,2026-05-30,61.05,duplicate_processing,lost,2026-05-31
8,CB_854,854,6064,93,2025-09-19,51.9,authorization_issue,won,2025-11-08
9,CB_897,897,2382,1195,2025-09-01,11.11,fraud,closed,
10,CB_955,955,2480,419,2025-07-30,42.03,authorization_issue,won,2025-06-27
12,CB_1110,1110,9985,508,2025-10-29,306.56,fraud,open,2025-10-18
13,CB_1126,1126,7159,208,2026-05-19,18.04,fraud,lost,2026-05-23
14,CB_1139,1139,5914,1107,2025-11-20,52.41,service_not_received,open,2026-01-18
15,CB_1153,1153,5073,100,2025-09-27,67.71,fraud,closed,2025-09-24
16,CB_1164,1164,3472,15,2026-01-29,55.75,duplicate_processing,won,2026-01-26
17,CB_1267,1267,855,95,2026-01-10,33.59,service_not_received,closed,2026-01-19
19,CB_1331,1331,2695,830,2025-11-25,77.06,duplicate_processing,closed,
20,CB_1502,1502,2067,1161,2026-04-26,45.68,fraud,open,
21,CB_1511,1511,3761,1072,2026-04-01,61.18,duplicate_processing,open,2026-03-16
22,CB_1577,1577,4872,4,2025-10-10,24.27,fraud,closed,2025-10-07
23,CB_1715,1715,7659,258,2025-08-27,72.27,service_not_received,open,2025-10-28
25,CB_1779,1779,9539,525,2025-12-01,56.33,fraud,open,2025-11-12
26,CB_1944,1944,9000,970,2025-06-19,370.8,service_not_received,won,2025-07-12
27,CB_2059,2059,2665,896,2025-07-18,85.8,service_not_received,open,
28,CB_2067,2067,6066,667,2025-07-03,73.67,service_not_received,open,
29,CB_2116,2116,7424,878,2025-07-07,296.87,service_not_received,lost,2025-06-17
31,CB_2154,2154,8417,681,2026-05-01,45.82,fraud,closed,2026-06-02
32,CB_2175,2175,1375,94,2025-10-07,71.64,service_not_received,closed,2025-12-01
33,CB_2196,2196,8154,816,2025-08-12,490.04,duplicate_processing,closed,2025-08-22
34,CB_2502,2502,2522,10,2026-05-28,303.33,service_not_received,lost,2026-06-27
36,CB_2770,2770,2341,1182,2026-02-10,12.22,service_not_received,won,2026-02-09
37,CB_2778,2778,9873,1032,2026-01-11,308.26,fraud,won,2026-01-21
38,CB_2820,2820,8124,186,2025-10-04,9.38,authorization_issue,closed,
39,CB_2948,2948,2302,52,2025-12-21,85.53,duplicate_processing,lost,2026-01-08
40,CB_2959,2959,1743,699,2025-05-05,9.42,duplicate_processing,closed,2025-05-27
41,CB_2963,2963,695,593,2026-03-28,60.86,service_not_received,lost,2026-03-24
42,CB_2994,2994,3580,388,2025-05-31,45.95,authorization_issue,closed,2025-05-17
43,CB_3076,3076,9787,680,2025-07-16,83.47,service_not_received,lost,2025-07-12
44,CB_3135,3135,2686,129,2025-10-03,11.9,fraud,closed,2025-09-29
46,CB_3153,3153,5109,256,2026-03-06,89.31,authorization_issue,lost,2026-03-21
47,CB_3197,3197,4148,613,2025-11-26,465.41,authorization_issue,closed,2025-12-29
48,CB_3253,3253,759,731,2025-08-27,10.62,authorization_issue,closed,2025-08-30
50,CB_3532,3532,8396,513,2025-08-28,50.24,authorization_issue,closed,
51,CB_3537,3537,4855,947,2025-12-29,66.34,service_not_received,open,2026-02-08
52,CB_3662,3662,749,462,2025-05-13,19.87,service_not_received,won,2025-05-25
53,CB_3730,3730,7684,191,2025-10-20,59.74,fraud,won,2025-10-12
54,CB_3948,3948,2037,935,2025-10-21,71.64,fraud,open,2025-10-08
56,CB_4030,4030,1784,326,2025-07-23,14.18,authorization_issue,closed,
