device_id,device_ref,customer_id,device_type,os_name,app_version,is_emulator,first_seen_at,last_seen_at,country_code,ip_country_code
1,DEV_1,6943,tablet,Android,v3.4,False,2024-05-03 07:31:40.479076,2026-03-23 07:31:40.479076,IN,US
2,DEV_2,9206,mobile,Windows,v3.7,False,2024-05-28 07:31:40.479076,2026-04-09 07:31:40.479076,GB,SG
3,DEV_3,9141,mobile,MacOS,v3.9,False,2024-10-25 07:31:40.479076,2026-04-14 07:31:40.479076,SG,US
4,DEV_4,6719,tablet,MacOS,v1.0,False,2025-10-16 07:31:40.479076,2026-04-05 07:31:40.479076,US,GB
5,DEV_5,6057,desktop,MacOS,v4.0,False,2025-05-28 07:31:40.479076,2026-03-20 07:31:40.479076,AU,AU
6,DEV_6,3472,tablet,Android,v2.0,False,2026-01-29 07:31:40.479076,2026-03-20 07:31:40.479076,IN,US
7,DEV_7,2028,desktop,MacOS,v2.6,False,2025-12-08 07:31:40.479076,2026-04-08 07:31:40.479076,US,AU
8,DEV_8,7651,tablet,iOS,v5.1,False,2025-07-24 07:31:40.479076,2026-04-11 07:31:40.479076,US,US
9,DEV_9,3187,mobile,MacOS,v1.3,False,2026-02-20 07:31:40.479076,2026-04-11 07:31:40.479076,US,SG
10,DEV_10,2130,mobile,Android,v1.5,False,2026-02-03 07:31:40.479076,2026-04-08 07:31:40.479076,GB,US
11,DEV_11,7326,mobile,Android,v2.4,False,2025-06-29 07:31:40.479076,2026-04-05 07:31:40.479076,US,GB
12,DEV_12,8758,desktop,MacOS,v5.7,False,2025-11-16 07:31:40.479076,2026-03-18 07:31:40.479076,IN,US
13,DEV_13,827,mobile,MacOS,v1.0,False,2025-09-21 07:31:40.479076,2026-04-14 07:31:40.479076,GB,AU
14,DEV_14,9946,tablet,Windows,v4.2,False,2024-12-22 07:31:40.479076,2026-04-03 07:31:40.479076,AU,AU
15,DEV_15,5034,tablet,iOS,v2.6,False,2025-09-18 07:31:40.479076,2026-03-23 07:31:40.479076,AU,GB
16,DEV_16,8717,tablet,MacOS,v5.1,False,2026-04-17 07:31:40.479076,2026-03-28 07:31:40.479076,AU,GB
17,DEV_17,5780,tablet,Android,v1.3,False,2025-09-21 07:31:40.479076,2026-03-27 07:31:40.479076,SG,IN
18,DEV_18,258,tablet,Windows,v4.1,False,2026-01-11 07:31:40.479076,2026-04-01 07:31:40.479076,SG,GB
19,DEV_19,3706,desktop,MacOS,v3.0,False,2025-01-09 07:31:40.479076,2026-03-23 07:31:40.479076,IN,GB
20,DEV_20,4893,desktop,iOS,v4.1,False,2026-01-23 07:31:40.479076,2026-03-29 07:31:40.479076,IN,AU
22,DEV_22,53,tablet,Android,v1.7,False,2024-11-06 07:31:40.479076,2026-04-02 07:31:40.479076,GB,US
23,DEV_23,8,tablet,MacOS,v4.3,False,2025-05-05 07:31:40.479076,2026-03-28 07:31:40.479076,AU,SG
24,DEV_24,2488,desktop,Windows,v5.0,False,2025-04-21 07:31:40.479076,2026-03-18 07:31:40.479076,US,AU
